디자이너 이름,헤어샵 주소,지역,전문분야,대면 컨설팅금액,비대면 컨설팅금액,대면 / 비대면,한 줄 소개 (띄어쓰기 포함 30자)
영진 실장,서울 강남구 압구정로 82길,강남/청담/압구정,탈염색,"39,400","34,500","대면, 비대면",손질이 편한 스타일 추천
도희 대표원장,서울 용산구 한강대로 76길,서울 전체,펌,"31,900","47,100",대면,청담동 감성 헤어 디자이너
예경 컬러리스트,서울 마포구 양화로 12길,홍대/연남/합정,컷,"49,300","38,500","대면, 비대면",손질이 편한 스타일 추천
지늘 컬러리스트,서울 동대문구 경희대로 39길,서울 전체,펌,"48,200","46,100","대면, 비대면","볼륨펌의 정석, 자신 있습니다"
박진 대표원장,서울 영등포구 당산로 3길,서울 전체,탈염색,"36,500","22,800","대면, 비대면",청담동 감성 헤어 디자이너
지현 원장,서울 광진구 아차산로 90길,성수/건대,염색,"46,500","42,800","대면, 비대면","볼륨펌의 정석, 자신 있습니다"
지경 원장,서울 광진구 아차산로 16길,성수/건대,펌,"32,400","49,000",대면,"볼륨펌의 정석, 자신 있습니다"
라진 실장,서울 강남구 압구정로 14길,강남/청담/압구정,컷,"39,000","48,700","대면, 비대면",트렌디한 디자인을 창조합니다
박수 팀장,서울 영등포구 당산로 88길,서울 전체,염색,"37,500","39,000","대면, 비대면",트렌디한 디자인을 창조합니다
혜수 대표원장,서울 강남구 테헤란로 43길,강남/청담/압구정,펌,"40,800","44,700",대면,감성적인 스타일링 전문가
라늘 실장,서울 마포구 양화로 87길,강남/청담/압구정,탈염색,"42,700","34,100","대면, 비대면",손질이 편한 스타일 추천
지진 팀장,서울 광진구 아차산로 44길,성수/건대,탈염색,"37,800","33,700",비대면,감성적인 스타일링 전문가
라훈 대표원장,서울 마포구 양화로 40길,홍대/연남/합정,펌,"48,500","26,400","대면, 비대면",손질이 편한 스타일 추천
예연 실장,서울 광진구 아차산로 42길,성수/건대,컷,"48,400","43,700","대면, 비대면",세련된 컬러링 전문가
오수 대표원장,서울 광진구 아차산로 6길,성수/건대,탈염색,"47,700","48,800",대면,당신에게 꼭 맞는 헤어스타일 추천
도수 원장,서울 마포구 양화로 41길,홍대/연남/합정,펌,"42,300","31,500","대면, 비대면","단발 마스터, 스타일 변신 도와드려요"
도예 컬러리스트,서울 용산구 한강대로 15길,서울 전체,염색,"31,800","26,400","대면, 비대면",세련된 컬러링 전문가
로우 팀장,서울 송파구 올림픽로 54길,서울 전체,펌,"48,000","47,900","대면, 비대면",세련된 컬러링 전문가
도훈 컬러리스트,서울 영등포구 당산로 88길,서울 전체,펌,"43,800","26,700",대면,청담동 감성 헤어 디자이너
로수 팀장,서울 동대문구 경희대로 86길,서울 전체,컷,"40,700","45,100",대면,트렌디한 디자인을 창조합니다
민수 디자이너,서울 광진구 아차산로 60길,성수/건대,염색,"38,500","26,000",비대면,손질이 편한 스타일 추천
예훈 수석 디자이너,서울 마포구 양화로 97길,홍대/연남/합정,염색,"42,900","26,300","대면, 비대면",감성적인 스타일링 전문가
예예 실장,서울 강남구 압구정로 66길,강남/청담/압구정,컷,"44,000","27,300",대면,고객 맞춤 컷팅 장인
오우 컬러리스트,서울 동대문구 경희대로 64길,서울 전체,펌,"32,000","23,800","대면, 비대면",감성적인 스타일링 전문가
혜자 팀장,서울 동대문구 경희대로 63길,서울 전체,탈염색,"41,200","46,900",비대면,"단발 마스터, 스타일 변신 도와드려요"
영우 디자이너,서울 광진구 아차산로 18길,성수/건대,펌,"30,400","34,900","대면, 비대면",청담동 감성 헤어 디자이너
서진 대표원장,서울 송파구 올림픽로 80길,서울 전체,펌,"37,800","42,400","대면, 비대면",당신에게 꼭 맞는 헤어스타일 추천
하자 팀장,서울 용산구 한강대로 100길,서울 전체,탈염색,"39,100","30,100",비대면,청담동 감성 헤어 디자이너
하예 대표원장,서울 강남구 테헤란로 22길,강남/청담/압구정,염색,"46,700","45,700","대면, 비대면",청담동 감성 헤어 디자이너
영경 원장,서울 영등포구 당산로 11길,서울 전체,펌,"46,700","23,800","대면, 비대면",트렌디한 디자인을 창조합니다
민예 원장,서울 영등포구 당산로 71길,서울 전체,컷,"38,600","31,100","대면, 비대면","볼륨펌의 정석, 자신 있습니다"
라희 컬러리스트,서울 용산구 한강대로 4길,서울 전체,펌,"33,600","35,200",대면,손질이 편한 스타일 추천
도경 실장,서울 마포구 양화로 50길,홍대/연남/합정,컷,"37,700","41,400","대면, 비대면",감성적인 스타일링 전문가
오진 컬러리스트,서울 강남구 테헤란로 7길,강남/청담/압구정,염색,"31,500","45,200","대면, 비대면",손질이 편한 스타일 추천
혜진 실장,서울 동대문구 경희대로 39길,서울 전체,펌,"41,300","37,400","대면, 비대면","볼륨펌의 정석, 자신 있습니다"
혜연 팀장,서울 강남구 압구정로 51길,강남/청담/압구정,탈염색,"38,300","47,300",대면,"단발 마스터, 스타일 변신 도와드려요"
지연 디자이너,서울 마포구 양화로 14길,홍대/연남/합정,펌,"36,100","41,500",대면,손질이 편한 스타일 추천
오훈 디자이너,서울 송파구 올림픽로 69길,서울 전체,펌,"30,000","35,000","대면, 비대면",감성적인 스타일링 전문가
서자 실장,서울 용산구 한강대로 34길,서울 전체,컷,"35,800","26,000","대면, 비대면",청담동 감성 헤어 디자이너
도진 원장,서울 영등포구 당산로 87길,서울 전체,염색,"41,700","29,000","대면, 비대면","볼륨펌의 정석, 자신 있습니다"
라예 팀장,서울 강남구 압구정로 97길,강남/청담/압구정,펌,"38,900","23,300","대면, 비대면",세련된 컬러링 전문가
로진 수석 디자이너,서울 송파구 올림픽로 65길,서울 전체,펌,"45,800","37,800",비대면,"볼륨펌의 정석, 자신 있습니다"
박현 팀장,서울 광진구 아차산로 6길,성수/건대,펌,"36,200","49,700","대면, 비대면",세련된 컬러링 전문가
하경 실장,서울 동대문구 경희대로 65길,서울 전체,염색,"34,000","30,900",대면,트렌디한 디자인을 창조합니다
영수 수석 디자이너,서울 마포구 양화로 72길,홍대/연남/합정,컷,"41,500","41,500",대면,고객 맞춤 컷팅 장인
지훈 대표원장,서울 용산구 한강대로 74길,서울 전체,염색,"46,500","37,200","대면, 비대면",청담동 감성 헤어 디자이너
지예 실장,서울 강남구 압구정로 30길,강남/청담/압구정,염색,"35,300","21,700","대면, 비대면",고객 맞춤 컷팅 장인
주주 디자이너,서울 강남구 압구정로 14길,강남/청담/압구정,탈염색,"31,600","31,200","대면, 비대면",헤어 고민은 전문가에게 맡겨주세요!
주라 원장,서울 강남구 압구정로 27길,강남/청담/압구정,펌,"36,900","40,300",대면,헤어 고민은 전문가에게 맡겨주세요!
율지 디자이너,서울 용산구 한강대로 41길,서울 전체,컷,"36,500","36,200","대면, 비대면",맞춤형 디자인으로 행복을 찾아드릴게요
호라 원장,서울 용산구 한강대로 30길,서울 전체,탈염색,"44,500","49,600","대면, 비대면",한 분을 위한 진심 컨설팅 진행합니다
라수 대표원장,서울 마포구 양화로 73길,홍대/연남/합정,탈염색,"45,400","39,500","대면, 비대면",스타일링으로 변화된 모습을 만나보세요
라로 원장,서울 마포구 양화로 13길,홍대/연남/합정,펌,"47,600","29,700",비대면,얼굴형에 맞는 퍼스널 디자인 전문가
라라 팀장,서울 영등포구 당산로 55길,서울 전체,펌,"49,600","29,200",대면,얼굴형에 맞는 퍼스널 디자인 전문가
율로 팀장,서울 영등포구 당산로 28길,서울 전체,탈염색,"49,400","27,900","대면, 비대면",맞춤형 디자인으로 행복을 찾아드릴게요
미로 대표원장,서울 강남구 압구정로 79길,강남/청담/압구정,탈염색,"47,500","45,600","대면, 비대면",헤어 고민은 전문가에게 맡겨주세요!
비미 원장,서울 광진구 아차산로 22길,성수/건대,염색,"45,100","43,600",비대면,중요한 날에 가장 예쁜 모습으로
민우 대표원장,서울 용산구 한강대로 93길,서울 전체,펌,"41,700","44,900","대면, 비대면",맞춤형 디자인으로 행복을 찾아드릴게요
라설 수석 디자이너,서울 강남구 테헤란로 59길,강남/청담/압구정,펌,"33,300","28,700","대면, 비대면",중요한 날에 가장 예쁜 모습으로
민주 디자이너,서울 강남구 압구정로 40길,강남/청담/압구정,컷,"35,000","20,600",대면,맞춤형 디자인으로 행복을 찾아드릴게요
오연 수석 디자이너,서울 동대문구 경희대로 70길,서울 전체,탈염색,"49,200","47,400","대면, 비대면","숨어있는 매력, 찾아드리겠습니다"
율라 팀장,서울 영등포구 당산로 40길,서울 전체,펌,"49,500","21,800",비대면,헤어 고민은 전문가에게 맡겨주세요!
율우 디자이너,서울 송파구 올림픽로 63길,서울 전체,탈염색,"40,600","43,000","대면, 비대면",스타일링으로 변화된 모습을 만나보세요
기희 디자이너,서울 광진구 아차산로 17길,성수/건대,펌,"39,400","37,700","대면, 비대면",120%를 만들어드리는 헤어 컨설팅 전문가입니다
로지 수석 디자이너,서울 용산구 한강대로 12길,서울 전체,펌,"35,700","33,700",대면,얼굴형에 맞는 퍼스널 디자인 전문가
율미 원장,서울 동대문구 경희대로 99길,서울 전체,염색,"49,900","31,400","대면, 비대면",120%를 만들어드리는 헤어 컨설팅 전문가입니다
라연 컬러리스트,서울 영등포구 당산로 80길,서울 전체,펌,"49,200","20,200","대면, 비대면",스타일링으로 변화된 모습을 만나보세요
주희 대표원장,서울 동대문구 경희대로 84길,서울 전체,컷,"37,200","40,300",대면,맞춤형 디자인으로 행복을 찾아드릴게요
오희 원장,서울 마포구 양화로 76길,홍대/연남/합정,염색,"45,600","44,700","대면, 비대면",언제나 준비된 퍼스널 헤어 컨설팅 1인자
로희 원장,서울 광진구 아차산로 31길,성수/건대,펌,"33,100","20,000","대면, 비대면","감성적인 분위기를 위한 첫 걸음, 저에게 맡겨주세요!"
오비 컬러리스트,서울 영등포구 당산로 74길,서울 전체,탈염색,"44,200","23,000",비대면,언제나 준비된 퍼스널 헤어 컨설팅 1인자
라주 팀장,서울 광진구 아차산로 12길,성수/건대,펌,"44,500","33,200","대면, 비대면",헤어 고민은 전문가에게 맡겨주세요!
율비 대표원장,서울 용산구 한강대로 35길,서울 전체,컷,"41,300","44,100","대면, 비대면","숨어있는 매력, 찾아드리겠습니다"
호비 팀장,서울 용산구 한강대로 11길,서울 전체,탈염색,"34,800","21,500",비대면,한 분을 위한 진심 컨설팅 진행합니다
주우 원장,서울 동대문구 경희대로 36길,서울 전체,펌,"31,000","43,700",대면,한 분을 위한 진심 컨설팅 진행합니다
장희 컬러리스트,서울 동대문구 경희대로 20길,서울 전체,탈염색,"41,100","26,700","대면, 비대면",120%를 만들어드리는 헤어 컨설팅 전문가입니다
라미 원장,서울 광진구 아차산로 4길,성수/건대,염색,"40,200","42,900",비대면,120%를 만들어드리는 헤어 컨설팅 전문가입니다
민로 대표원장,서울 용산구 한강대로 63길,서울 전체,염색,"49,700","30,000","대면, 비대면",얼굴형에 맞는 퍼스널 디자인 전문가
비연 원장,서울 마포구 양화로 94길,홍대/연남/합정,컷,"30,200","43,400","대면, 비대면",한 분을 위한 진심 컨설팅 진행합니다
호설 수석 디자이너,서울 동대문구 경희대로 52길,서울 전체,펌,"38,000","24,400","대면, 비대면",중요한 날에 가장 예쁜 모습으로
율수 대표원장,서울 강남구 테헤란로 54길,강남/청담/압구정,펌,"35,800","33,300",대면,헤어 고민은 전문가에게 맡겨주세요!
주비 실장,서울 강남구 압구정로 3길,강남/청담/압구정,염색,"43,400","35,600",비대면,중요한 날에 가장 예쁜 모습으로
민설 수석 디자이너,서울 송파구 올림픽로 91길,서울 전체,컷,"38,600","27,000","대면, 비대면",120%를 만들어드리는 헤어 컨설팅 전문가입니다
비수 디자이너,서울 동대문구 경희대로 81길,서울 전체,펌,"44,500","32,900","대면, 비대면",스타일링으로 변화된 모습을 만나보세요
로라 대표원장,서울 강남구 테헤란로 49길,강남/청담/압구정,펌,"33,400","20,800",비대면,중요한 날에 가장 예쁜 모습으로
미미 컬러리스트,서울 송파구 올림픽로 53길,서울 전체,염색,"35,400","41,100","대면, 비대면",한 분을 위한 진심 컨설팅 진행합니다
오미 실장,서울 강남구 압구정로 64길,강남/청담/압구정,펌,"47,200","42,600",비대면,헤어 고민은 전문가에게 맡겨주세요!
장미 원장,서울 영등포구 당산로 80길,서울 전체,탈염색,"36,100","42,000","대면, 비대면","감성적인 분위기를 위한 첫 걸음, 저에게 맡겨주세요!"
민미 대표원장,서울 영등포구 당산로 17길,서울 전체,펌,"38,000","25,700","대면, 비대면",한 분을 위한 진심 컨설팅 진행합니다
미주 대표원장,서울 용산구 한강대로 5길,서울 전체,펌,"32,800","41,000",대면,"숨어있는 매력, 찾아드리겠습니다"
오라 컬러리스트,서울 마포구 양화로 100길,홍대/연남/합정,염색,"37,700","45,800","대면, 비대면",언제나 준비된 퍼스널 헤어 컨설팅 1인자
세연 팀장,서울 강남구 압구정로 91길,강남/청담/압구정,탈염색,"49,100","48,200",비대면,스타일링으로 변화된 모습을 만나보세요
오설 디자이너,서울 강남구 테헤란로 26길,강남/청담/압구정,펌,"49,500","36,400","대면, 비대면",스타일링으로 변화된 모습을 만나보세요
주미 컬러리스트,서울 강남구 압구정로 72길,강남/청담/압구정,탈염색,"37,800","31,100","대면, 비대면","숨어있는 매력, 찾아드리겠습니다"
비희 컬러리스트,서울 용산구 한강대로 3길,서울 전체,펌,"33,500","46,800","대면, 비대면",헤어 고민은 전문가에게 맡겨주세요!
율희 대표원장,서울 강남구 테헤란로 65길,강남/청담/압구정,펌,"36,800","37,800",비대면,스타일링으로 변화된 모습을 만나보세요
세주 컬러리스트,서울 마포구 양화로 64길,홍대/연남/합정,탈염색,"44,900","29,400","대면, 비대면",언제나 준비된 퍼스널 헤어 컨설팅 1인자
세희 대표원장,서울 마포구 양화로 31길,홍대/연남/합정,컷,"46,800","22,200",비대면,"감성적인 분위기를 위한 첫 걸음, 저에게 맡겨주세요!"
민지 수석 디자이너,서울 용산구 한강대로 46길,서울 전체,펌,"36,200","30,600",대면,맞춤형 디자인으로 행복을 찾아드릴게요
미지 팀장,서울 광진구 아차산로 91길,성수/건대,펌,"40,700","24,800","대면, 비대면",언제나 준비된 퍼스널 헤어 컨설팅 1인자
율연 팀장,서울 용산구 한강대로 53길,서울 전체,탈염색,"36,900","32,200",비대면,한 분을 위한 진심 컨설팅 진행합니다
미수 대표원장,서울 용산구 한강대로 77길,서울 전체,염색,"46,000","23,200",대면,스타일링으로 변화된 모습을 만나보세요
세로 대표원장,서울 영등포구 당산로 70길,서울 전체,컷,"35,600","29,900",대면,중요한 날에 가장 예쁜 모습으로
호연 팀장,서울 강남구 압구정로 75길,강남/청담/압구정,펌,"47,600","30,800",대면,120%를 만들어드리는 헤어 컨설팅 전문가입니다
기수 팀장,서울 송파구 올림픽로 25길,서울 전체,펌,"41,900","35,700","대면, 비대면",맞춤형 디자인으로 행복을 찾아드릴게요
세지 원장,서울 용산구 한강대로 47길,서울 전체,탈염색,"47,100","47,700",비대면,120%를 만들어드리는 헤어 컨설팅 전문가입니다
기라 컬러리스트,서울 강남구 테헤란로 48길,강남/청담/압구정,펌,"48,700","26,400",대면,120%를 만들어드리는 헤어 컨설팅 전문가입니다
주설 원장,서울 송파구 올림픽로 50길,서울 전체,컷,"40,300","45,200","대면, 비대면",얼굴형에 맞는 퍼스널 디자인 전문가
주로 원장,서울 강남구 압구정로 26길,강남/청담/압구정,탈염색,"38,200","44,900",비대면,헤어 고민은 전문가에게 맡겨주세요!
민비 실장,서울 광진구 아차산로 25길,성수/건대,펌,"42,700","32,900","대면, 비대면",스타일링으로 변화된 모습을 만나보세요
장주 대표원장,서울 광진구 아차산로 5길,성수/건대,펌,"33,700","31,900","대면, 비대면",중요한 날에 가장 예쁜 모습으로
민연 수석 디자이너,서울 마포구 양화로 60길,홍대/연남/합정,탈염색,"38,600","21,700",대면,얼굴형에 맞는 퍼스널 디자인 전문가
비주 팀장,서울 광진구 아차산로 51길,성수/건대,펌,"42,400","27,000","대면, 비대면",중요한 날에 가장 예쁜 모습으로
호희 원장,서울 강남구 테헤란로 63길,강남/청담/압구정,컷,"31,300","49,400","대면, 비대면","숨어있는 매력, 찾아드리겠습니다"
민희 컬러리스트,서울 송파구 올림픽로 74길,서울 전체,펌,"41,700","23,700","대면, 비대면",언제나 준비된 퍼스널 헤어 컨설팅 1인자
미희 대표원장,서울 광진구 아차산로 52길,성수/건대,펌,"39,700","35,500",대면,120%를 만들어드리는 헤어 컨설팅 전문가입니다
장지 원장,서울 송파구 올림픽로 56길,서울 전체,컷,"32,800","36,300","대면, 비대면",중요한 날에 가장 예쁜 모습으로
미연 수석 디자이너,서울 강남구 테헤란로 46길,강남/청담/압구정,염색,"46,500","36,500",대면,맞춤형 디자인으로 행복을 찾아드릴게요
기주 팀장,서울 동대문구 경희대로 19길,서울 전체,펌,"36,200","20,900",비대면,"숨어있는 매력, 찾아드리겠습니다"
비비 대표원장,서울 용산구 한강대로 51길,서울 전체,염색,"38,500","38,500","대면, 비대면",언제나 준비된 퍼스널 헤어 컨설팅 1인자
세비 원장,서울 영등포구 당산로 68길,서울 전체,컷,"47,800","38,800",비대면,"숨어있는 매력, 찾아드리겠습니다"
이초 디자이너,서울 강남구 압구정로79길 ,강남/청담/압구정,펌,"40,000","20,000","대면, 비대면","레드벨벳, 있지가 방문하는 샵"
로로 원장,서울 마포구 어울마당로 19,홍대/연남/합정,탈염색,"40,000","34,000","대면, 비대면",화이트 베이지 브라운 전문
슈 대표원장,서울 마포구 동교로 255,홍대/연남/합정,탈염색,"41,000","20,000",대면,"차별화 된 탈색 & 염색 노하우 기법, 꼼꼼한 컨설팅"
랑 원장,서울 마포구 와우산로 101,홍대/연남/합정,탈염색,"41,000","34,000","대면, 비대면",Customized only for you!
히지 디자이너,서울 성동구 왕십리로8길 3,성수/건대,펌,"31,000","20,000",비대면,퍼스널 맞춤형 컬러 추천
현영 디자이너,서울 성동구 왕십리로 106,성수/건대,탈염색,"30,000","34,000","대면, 비대면",편안한 분위기와 부드러운 디자인
나나 디자이너,서울 성동구 성수일로4길 33,성수/건대,염색,"32,000","34,000",대면,얼굴형 고민을 기쁨으로 바꿔드려요
이아 디자이너,서울 성동구 성수일로6길,성수/건대,탈염색,"40,000","20,000","대면, 비대면","편안한 분위기, 1:1 맞춤 상담 디자인"
주 디자이너,서울 성동구 왕십리로2길,성수/건대,염색,"41,000","34,000",비대면,작은 차이로 달라지는 나만의 특별한 분위기
희 수석디자이너,서울 강남구 논현로85길 43,강남/청담/압구정,탈염색,"40,000","34,000","대면, 비대면",가치를 높여주는 이상적인 스타일을 찾아드려요
시오 부원장,서울 서초구 강남대로97길,강남/청담/압구정,염색,"30,000","22,000",대면,"트렌디한 감성, 섬세한 손길로 새로운 모습을"
휘리 원장,서울 마포구 양화로7안길 12,홍대/연남/합정,펌,"40,000","20,000","대면, 비대면",대한민국 상위 1% 단발머리 전문가
유하 디자이너,서울 마포구 잔다리로 48,홍대/연남/합정,염색,"34,000","34,000",대면,누구나 손질 가능한 디자인
은이 수석디자이너,서울 마포구 홍익로5길,홍대/연남/합정,펌,"32,000","20,000","대면, 비대면","일상 속에 스며드는 아름다움, 높은 재방문률"
미미 컬러리스트,서울 송파구 송파대로 367,서울 전체,염색,"41,000","34,000",비대면,오로지 당신을 위한 컬러
하루 컬러리스트,서울 동대문구 이문로 45,서울 전체,펌,"40,000","20,000","대면, 비대면","끊어짐, 얼룩없는 뿌리탈색, 저손상 블랙빼기 전문"
